experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp7,vqc,6,random,60.0,72.0,27.96589058870604,6,3,0,120,0.15,2048,0,2,local_sim,0.09812500000000002,0.002304,0.0,0.0,0.018432,0.0,0.002414592,0.0,-0.09835603381440679,-0.1126623982267074
exp7,vqc,6,joint_bo,60.0,72.0,10.935470869655786,2,2,1,30,0.05,128,0,0,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.2001133666617553,-0.20015072788879565
exp7,vqc,6,joint_mf,60.0,72.72000000000014,13.29239703047807,6,3,1,120,0.05,512,0,2,local_sim,0.17,0.004608,0.0,0.0,0.036864,0.0,0.004829184,0.0,-0.1704620676288136,-0.18791816839747152
exp7,vqc,7,random,10.0,24.0,0.4761092468213758,4,2,0,30,0.15,128,1,2,remote_sim,0.18125,0.0317388515800828,0.0,0.0,1.6000000000000003e-05,6.400000000000002e-13,0.031738947612082805,0.0,-0.18361468162851535,-0.18942586760620286
exp7,vqc,7,joint_bo,10.0,24.0,6.651425134122809,2,3,1,120,0.15,512,0,2,qpu_B,0.185625,0.10927113613257275,0.0,0.0,5.5120000000000005,0.0005120000000000001,0.16794313613257272,0.0,-0.25291814209988384,-0.2671112356370252
exp7,vqc,7,joint_mf,10.0,24.0,3.252372429229871,6,3,1,60,0.05,2048,0,1,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.20011489957306433,-0.2001549748675904
exp7,vqc,7,random,60.0,72.0,19.919639154979425,2,1,1,60,0.15,2048,1,0,local_sim,0.175625,3.2000000000000005e-05,0.0,0.0,0.00025600000000000004,0.0,3.3536000000000006e-05,0.0,-0.1756286220308486,-0.17500503147464308
exp7,vqc,7,joint_bo,60.0,72.0,2.6293111674327725,2,1,0,120,0.05,128,1,2,local_sim,0.18062499999999998,1.6000000000000003e-05,0.0,0.0,0.00012800000000000002,0.0,1.6768000000000003e-05,0.0,-0.18062681101542433,-0.18875200076881624
exp7,vqc,7,joint_mf,60.0,72.72000000000014,5.209841064884007,2,2,1,60,0.15,128,0,2,local_sim,0.18437499999999996,6.400000000000001e-05,0.0,0.0,0.0005120000000000001,0.0,6.707200000000001e-05,0.0,-0.18438224406169718,-0.20000865226366726
exp7,vqc,8,random,10.0,24.0,2.912732604882228,6,3,0,30,0.15,2048,1,1,classical,0.125,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.12511974743190035,-0.1251538671345697
exp7,vqc,8,joint_bo,10.0,24.0,1.8003202780611531,4,3,1,60,0.05,128,1,0,remote_sim,0.12000000000000002,0.05128305098811993,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.05128333908411993,0.0,-0.12339869655647577,-0.1294281669253444
exp7,vqc,8,joint_mf,10.0,24.0,0.3355888183129686,6,1,0,120,0.05,128,1,2,local_sim,0.11187499999999999,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.11195754571824172,-0.12507546078976814
exp7,vqc,8,random,60.0,72.0,31.055830428503718,6,1,0,120,0.05,128,0,2,remote_sim,0.11687500000000002,0.050518990890086025,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.05051927898608601,0.0,-0.11976574452282399,-0.1406225550024293
exp7,vqc,8,joint_bo,60.0,72.0,8.53821022199125,6,1,0,120,0.15,128,1,1,remote_sim,0.11187499999999999,0.050518990890086025,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.05051927898608601,0.0,-0.11476574452282398,-0.12855396461548932
exp7,vqc,8,joint_mf,60.0,72.72000000000014,8.183331035928722,4,3,0,60,0.15,512,0,2,local_sim,0.09937500000000002,0.00038399999999999996,0.0,0.0,0.0030719999999999996,0.0,0.00040243200000000004,0.0,-0.09941943510127123,-0.10005956850126116
exp7,vqc,9,random,10.0,24.0,0.273052597466775,4,1,1,60,0.05,128,0,1,local_sim,0.185,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.18502904496865405,-0.20002814395704904
exp7,vqc,9,joint_bo,10.0,24.0,1.027794667094583,4,3,0,60,0.15,512,0,0,local_sim,0.16499999999999998,0.00038399999999999996,0.0,0.0,0.0030719999999999996,0.0,0.00040243200000000004,0.0,-0.16504356745298113,-0.18752990199987352
exp7,vqc,9,joint_mf,10.0,24.0,16.919910096557967,2,2,1,30,0.05,128,0,2,local_sim,0.30124999999999996,6.400000000000001e-05,0.0,0.0,0.0005120000000000001,0.0,6.707200000000001e-05,0.0,-0.3012573459010903,-0.32500516449515865
exp7,vqc,9,random,60.0,72.0,14.109507655296916,6,1,1,60,0.05,512,1,0,remote_sim,0.141875,0.02839881636127988,0.0,0.0,9.599999999999999e-05,3.84e-12,0.028399392553279883,0.0,-0.14367967242947655,-0.15379559426733622
exp7,vqc,9,joint_bo,60.0,72.0,3.997309192194094,6,1,0,30,0.05,512,1,0,remote_sim,0.1375,0.028398624361279885,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.02839891245727988,0.0,-0.139304372202321,-0.14129528481229808
exp7,vqc,9,joint_mf,60.0,72.72000000000014,6.320207639372253,6,1,1,30,0.05,2048,0,1,remote_sim,0.1375,0.02839881636127988,0.0,0.0,9.599999999999999e-05,3.84e-12,0.028399392553279883,0.0,-0.1393046724294765,-0.14129559426733615
exp7,vqc,10,random,10.0,24.0,9.972943608674267,4,2,1,30,0.05,128,1,1,local_sim,0.24812499999999998,0.0005120000000000001,0.0,0.0,0.004096000000000001,0.0,0.0005365760000000001,0.0,-0.24818028398599537,-0.26257950145229714
exp7,vqc,10,joint_bo,10.0,24.0,1.6034190009168587,4,1,1,120,0.15,128,0,1,qpu_B,0.26187499999999997,0.061802790929663606,0.0,0.0,5.128,0.00012800000000000002,0.0989707909296636,0.0,-0.3033684604561996,-0.31936092163883806
exp7,vqc,10,joint_mf,10.0,24.0,1.6902857125372397,6,1,1,30,0.15,128,1,0,local_sim,0.210625,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.21080690733162544,-0.21272716070913866
exp7,vqc,10,random,60.0,72.0,11.777062864447972,6,2,0,60,0.05,512,1,1,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876176414520624,-0.18764045076227864
exp7,vqc,10,joint_bo,60.0,72.0,6.2962372734239125,2,2,0,120,0.05,128,0,2,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876176414520624,-0.18764045076227864
exp7,vqc,10,joint_mf,60.0,72.72000000000014,21.42610185197735,6,3,0,30,0.05,128,0,1,remote_sim,0.14875000000000002,0.035635464685297505,0.0,0.0,0.000144,5.7600000000000005e-12,0.0356363289732975,0.0,-0.15138002642556408,-0.176615212443783
exp7,vqc,11,random,10.0,24.0,1.9570116309074725,4,2,0,60,0.05,2048,1,2,classical,0.2750000000000001,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.2751118073281867,-0.2751508780271636
exp7,vqc,11,joint_bo,10.0,24.0,5.021041948561568,6,1,0,60,0.15,128,1,2,remote_sim,0.22812499999999997,0.03732583171065138,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.03732611980665138,0.0,-0.230596505205214,-0.24276940603784422
exp7,vqc,11,joint_mf,10.0,24.0,6.325911637674641,6,1,0,30,0.05,512,1,0,remote_sim,0.25,0.03732583171065138,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.03732611980665138,0.0,-0.25247150520521405,-0.2543119772754448
exp7,vqc,11,random,60.0,72.0,9.493151391594314,6,3,1,60,0.15,512,1,2,local_sim,0.24937499999999999,0.004608,0.0,0.0,0.036864,0.0,0.004829184,0.0,-0.24990090291136355,-0.2629220957789311
exp7,vqc,11,joint_bo,60.0,72.0,4.689111805849574,6,1,1,120,0.15,128,0,2,local_sim,0.22999999999999998,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.23017530097045452,-0.23774171681694642
exp7,vqc,11,joint_mf,60.0,72.72000000000014,0.8461119954405792,6,3,1,60,0.05,2048,0,2,classical,0.2750000000000001,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.2751118073281867,-0.2751508780271636
