workload,seed,rival,du,incremental_search_s,n_be
vqc_cancer,9,sequential,-0.011819249113347405,0.0,inf
vqc_cancer,10,sequential,0.005897860997438206,0.0,0.0
vqc_cancer,11,sequential,0.0035230605465692982,0.5291671160613012,150.2009713050762
qaoa,0,random,-0.0346519346481786,35.46605414246989,inf
qaoa,1,random,-0.10773773106349101,0.0,inf
qaoa,2,random,-0.014965313961757399,216.234485499844,inf
qaoa,3,random,-0.5544647127997296,0.0,inf
qaoa,4,random,0.3743737434472767,26.43461287459185,70.61022130232446
qaoa,5,random,0.1149934334995023,0.0,0.0
qaoa,6,random,-0.5321412321797385,0.0,inf
qaoa,7,random,3.6290983204199934e-05,0.0,0.0
qaoa,8,random,9.172615425906416e-06,0.0,0.0
qaoa,9,random,0.550953648032728,0.0,0.0
qaoa,10,random,-0.05159636899673059,0.0,inf
qaoa,11,random,0.0029909065848398014,0.0,0.0
qaoa_channel,0,random,-0.0338334925120649,0.0,inf
qaoa_channel,1,random,-1.8967842740499723e-05,55.50253446280095,inf
qaoa_channel,2,random,1.6523892097799987e-05,0.0,0.0
qaoa_channel,3,random,0.0065073230752838,356.57372431887075,54795.76166630081
qaoa_channel,4,random,-9.91381132240017e-06,47.260110130437056,inf
qaoa_channel,5,random,-1.9088562256200045e-05,0.0,inf
qaoa_channel,6,random,-1.8939202087800422e-05,35.58523963370189,inf
qaoa_channel,7,random,-1.3827998023299964e-05,0.0,inf
qaoa_channel,8,random,6.350532154995869e-06,70.34023073282043,11076273.454892252
qaoa_channel,9,random,-0.021692311920928298,0.0,inf
qaoa_channel,10,random,4.5847111475300246e-05,0.0,0.0
qaoa_channel,11,random,1.7552362632199982e-05,0.0,0.0
qaoa_place,0,random,-0.7832865361619841,31.492836271357888,inf
qaoa_place,1,random,0.0954907298569361,0.0,0.0
qaoa_place,2,random,-0.029225374252936302,0.0,inf
qaoa_place,3,random,1.461122623909461e-05,53.70135226680816,3675348.7618391556
qaoa_place,4,random,0.020500701781234896,0.0,0.0
qaoa_place,5,random,0.11328564160680331,0.0,0.0
qaoa_place,6,random,0.0134354880616654,0.0,0.0
qaoa_place,7,random,1.0861296363601225e-05,0.0,0.0
qaoa_place,8,random,-0.12575982926266388,72.84614352144072,inf
qaoa_place,9,random,0.0194524984134802,0.0,0.0
qaoa_place,10,random,0.006390161413279,0.0,0.0
qaoa_place,11,random,1.904514378589517e-05,0.0,0.0
vqc,0,random,0.16434251979381412,0.0,0.0
vqc,1,random,-0.006876230528269203,0.46620911931255815,inf
vqc,2,random,-0.13282330580795917,0.14462882719059778,inf
vqc,3,random,-0.0010373056908113132,0.0,inf
vqc,4,random,-0.015082832257774792,0.0,inf
vqc,5,random,-0.011874999999999997,2.351436564424832,inf
vqc,6,random,0.08336494364265529,2.527196322683051,30.314856728217855
vqc,7,random,-0.00048611005005369523,0.8457297950062213,inf
vqc,8,random,0.00234630179005009,0.0,0.0
vqc,9,random,0.02436569032722738,0.0,0.0
vqc,10,random,0.0,0.0,inf
vqc,11,random,-0.049697382574061144,5.153228420798234,inf
vqc_cancer,0,random,-0.002522704659055401,0.0,inf
vqc_cancer,1,random,0.019704172126065893,0.6532458782257864,33.152668076911105
vqc_cancer,2,random,-0.0001610049897066007,0.0,inf
vqc_cancer,3,random,0.0,0.0,inf
vqc_cancer,4,random,-0.0050822310817849985,0.0,inf
vqc_cancer,5,random,0.0,3.471364796946405,inf
vqc_cancer,6,random,-0.003319678424120412,2.5102941786830506,inf
vqc_cancer,7,random,-8.31204776561012e-05,0.4796961457885498,inf
vqc_cancer,8,random,-0.011829655995416903,0.0,inf
vqc_cancer,9,random,5.575088665269595e-05,0.0,0.0
vqc_cancer,10,random,2.6687786249701695e-05,0.0,0.0
vqc_cancer,11,random,-0.0006248994835527932,0.5370152408753337,inf
qaoa,0,feasible_random,-0.0897870537331446,94.6903640746179,inf
qaoa,1,feasible_random,-0.1076780717966992,65.63637551536863,inf
qaoa,2,feasible_random,-1.152124884009828e-05,277.87499797468837,inf
qaoa,3,feasible_random,-0.5500687266634116,87.64364345278109,inf
qaoa,4,feasible_random,1.652859032080095e-05,116.99624120615994,7078416.182832128
qaoa,5,feasible_random,0.1100777303363125,61.06847095632781,554.7758912701937
qaoa,6,feasible_random,-0.00026319687438225436,16.09028377126261,inf
qaoa,7,feasible_random,-0.00034910456964650297,29.722526977804986,inf
qaoa,8,feasible_random,-0.0004067600886035888,113.78266074984506,inf
qaoa,9,feasible_random,0.5507215894405671,96.22679807587883,174.72857414874136
qaoa,10,feasible_random,-0.000271244103552587,136.14678802278297,inf
qaoa,11,feasible_random,0.0026993451484783014,141.73737478473723,52508.05917303264
qaoa_channel,0,feasible_random,-0.033851555605694895,95.13626422544424,inf
qaoa_channel,1,feasible_random,-5.252729978539976e-05,267.7166997598745,inf
