experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,size,eval_wall_s,search_wall_s
exp7,qaoa,4,joint_bo,10.0,24.0,114.70961718257585,3.0,20.0,0.0,2048.0,1.0,2.0,classical,0.05568648905199882,0.005480417283251882,0.0,0.0,0.04384333826601505,0.0,0.005743477312847972,0.0,-0.05632298262142664,-0.2851397027284316,,,
exp7,qaoa,4,joint_mf,10.0,24.0,59.69685688423066,2.0,20.0,1.0,2048.0,1.0,0.0,local_sim,0.0005472757270200613,0.20660800000000004,0.0,0.0,1.6528640000000003,0.0,0.21652518400000004,0.0,-0.024134019634017567,-0.03434879684592556,,,
exp7,qaoa,4,random,60.0,72.0,494.21638323436554,1.0,80.0,1.0,128.0,1.0,1.0,classical,0.05568648905199882,0.0053447188111022115,0.0,0.0,0.04275775048881769,0.0,0.005601265314035118,0.0,-0.05630683922362495,-0.28513083144940476,,,
exp7,qaoa,4,joint_bo,60.0,72.0,133.35136229298686,3.0,20.0,1.0,128.0,0.0,0.0,classical,0.05568648905199882,0.0055677087511867285,0.0,0.0,0.04454167000949383,0.0,0.005834958771243692,0.0,-0.05633152056741438,-0.28513557368372894,,,
exp7,qaoa,4,joint_mf,60.0,72.72000000000014,641.2827756242821,2.0,80.0,1.0,128.0,0.0,0.0,classical,0.05568648905199882,0.005306291684973985,0.0,0.0,0.04245033347979188,0.0,0.005560993685852736,0.0,-0.056302374591469584,-0.28511773595615486,,,
exp7,qaoa,5,random,10.0,24.0,42.784808877238774,2.0,40.0,0.0,128.0,0.0,2.0,classical,0.04598828716567185,0.005387217970564961,0.0,0.3,0.04309774376451969,0.0,0.005645804433152079,0.0,-1.5466139601410047,-5.100772279668494,,,
exp7,qaoa,5,joint_bo,10.0,24.0,301.0457637634184,1.0,80.0,1.0,512.0,0.0,0.0,remote_sim,0.013013786634495058,0.043945732132180435,0.0,0.1,1.256144,5.024576000000001e-08,0.05148510842018043,0.0,-0.5230873471715983,-0.5750453723051493,,,
exp7,qaoa,5,joint_mf,10.0,24.0,98.05964536599922,3.0,20.0,0.0,2048.0,0.0,0.0,classical,0.04598828716567185,0.0056552917521912605,0.0,0.3,0.045242334017530084,0.0,0.005926745756296441,0.0,-1.546643450120497,-5.1008091851453985,,,
exp7,qaoa,5,random,60.0,72.0,337.852478430852,2.0,20.0,1.0,2048.0,0.0,0.0,remote_sim,0.0,0.046048332022211626,0.0,0.0,1.2622880000000003,5.049152e-08,0.053624584598211636,0.0,-0.009924007988799565,-0.011400163980111776,,,
exp7,qaoa,5,joint_bo,60.0,72.0,38.05789935903603,1.0,40.0,1.0,2048.0,0.0,0.0,remote_sim,0.0,0.04602375602221163,0.0,0.0,1.256144,5.024576000000001e-08,0.05356313231021163,0.0,-0.009885828172900905,-0.011361129887531764,,,
